id	categoryID	name	image	sound	wordCount	win	lose
229	25	church	church	church	6	0	0
230	25	temple	temple	temple	6	0	0
231	25	hospital	hospital	hospital	8	0	0
232	25	pool	pool	pool	4	0	0
233	25	park	park	park	4	0	0
234	25	road	road	road	4	0	0
235	25	bridge	bridge	bridge	6	0	0
236	25	bakery	bakery	bakery	6	0	0
237	24	cherry	cherry	cherry	6	0	0
238	24	litchi	litchi	litchi	6	0	0
239	24	tomato	tomato	tomato	6	0	0
240	24	papaya	papaya	papaya	6	0	0
241	24	coconut	coconut	coconut	7	0	0
242	24	apricot	apricot	apricot	7	0	0
243	24	avocado	avocado	avocado	7	0	0
244	24	pineapple	pineapple	pineapple	9	0	0
245	24	strawberry	strawberry	strawberry	10	0	0
246	24	watermelon	watermelon	watermelon	10	0	0
247	23	tree	tree	tree	4	0	0
248	23	leaf	leaf	leaf	4	0	0
249	23	root	root	root	4	0	0
250	23	flower	flower	flower	6	0	0
251	23	branch	branch	branch	6	0	0
252	23	grass	grass	grass	5	0	0
253	23	rock	rock	rock	4	0	0
254	23	sea	sea	sea	3	0	0
255	23	lake	lake	lake	4	0	0
256	23	river	river	river	5	0	0
257	22	owl	owl	owl	3	0	0
258	22	deer	deer	deer	4	0	0
259	22	bear	bear	bear	4	0	0
260	22	frog	frog	frog	4	0	0
261	22	mouse	mouse	mouse	5	0	0
262	22	sheep	sheep	sheep	5	0	0
263	22	horse	horse	horse	5	0	0
264	22	snake	snake	snake	5	0	0
265	22	whale	whale	whale	5	0	0
266	22	shark	shark	shark	5	0	0
267	21	bed	bed	bed	3	0	0
268	21	pillow	pillow	pillow	6	0	0
269	21	blanket	blanket	blanket	7	0	0
270	21	mattress	mattress	mattress	8	0	0
271	21	drap	drap	drap	4	0	0
272	21	alarm clock	alarm clock	alarm clock	11	0	0
273	21	closet	closet	closet	6	0	0
274	21	lamp	lamp	lamp	4	0	0
275	21	table	table	table	5	0	0
276	21	fan	fan	fan	3	0	0
277	20	tap	tap	tap	3	0	0
278	20	comb	comb	comb	4	0	0
279	20	soap	soap	soap	4	0	0
280	20	mirror	mirror	mirror	6	0	0
281	20	towel	towel	towel	5	0	0
282	20	shower	shower	shower	6	0	0
283	20	shampoo	shampoo	shampoo	7	0	0
284	20	bathtub	bathtub	bathtub	7	0	0
285	20	toothbrush	toothbrush	toothbrush	10	0	0
286	20	toothpaste	toothpaste	toothpaste	10	0	0
287	19	pan	pan	pan	3	0	0
288	19	cup	cup	cup	3	0	0
289	19	glass	glass	glass	5	0	0
290	19	bowl	bowl	bowl	4	0	0
291	19	plate	plate	plate	5	0	0
292	19	spoon	spoon	spoon	5	0	0
293	19	fork	fork	fork	4	0	0
294	19	knife	knife	knife	5	0	0
295	19	fridge	fridge	fridge	6	0	0
296	19	sink	sink	sink	4	0	0
297	-1	xanthous	xanthous	xanthous	8	0	0
298	-1	quail	quail	quail	5	0	0
299	-1	uakari	uakari	uakari	6	0	0
